0.346,-0.0059996,1.7,6.265847
0.692,-0.0119993,1.7,6.265847
1.038,-0.0179989,1.7,6.265847
1.384,-0.0239986,1.7,6.265847
1.73,-0.0299982,1.7,6.265847
2.076,-0.0359978,1.7,6.265847
2.422,-0.0419975,1.7,6.265847
2.768,-0.0479971,1.7,6.265847
3.114,-0.0539968,1.7,6.265847
3.46,-0.0599964,1.7,6.265847
3.806,-0.065996,1.7,6.265847
4.152,-0.0719957,1.7,6.265847
4.498,-0.0779953,1.7,6.265847
4.844,-0.083995,1.7,6.265847
5.19,-0.0899946,1.7,6.265847
5.536,-0.0959942,1.7,6.265847
5.882,-0.1019939,1.7,6.265847
6.228,-0.1079935,1.7,6.265847
6.574,-0.1139932,1.7,6.265847
6.92,-0.1199928,1.7,6.265847
7.266,-0.1259924,1.7,6.265847
7.612,-0.1319921,1.7,6.265847
7.958,-0.1379917,1.7,6.265847
8.304,-0.1439914,1.7,6.265847
8.65,-0.149991,1.7,6.265847
8.996,-0.1559906,1.7,6.265847
9.342,-0.1619903,1.7,6.265847
9.688,-0.1679899,1.7,6.265847
10.034,-0.1739896,1.7,6.265847
10.38,-0.1799892,1.7,6.265847
10.726,-0.1859888,1.7,6.265847
11.072,-0.1919885,1.7,6.265847
11.418,-0.1979881,1.7,6.265847
11.764,-0.2039878,1.7,6.265847
12.11,-0.2099874,1.7,6.265847
12.456,-0.215987,1.7,6.265847
12.802,-0.2219867,1.7,6.265847
13.148,-0.2279863,1.7,6.265847
13.494,-0.233986,1.7,6.265847
13.84,-0.24,1.7,6.265657
14.186,-0.2442401,1.7,6.221087
14.532,-0.2570457,1.7,6.176517
14.878,-0.278682,1.7,6.131947
15.224,-0.3096223,1.7,6.087377
15.57,-0.350605,1.7,6.042807
15.916,-0.4027346,1.6589,5.998237
16.262,-0.4676664,1.6178,5.953667
16.608,-0.5479626,1.5767,5.909097
16.954,-0.6478565,1.5356,5.864527
17.3,-0.7751922,1.4945,5.819957
17.332,-0.7888356,1.4534,5.775387
17.364,-0.8028677,1.4123,5.730817
17.396,-0.8173118,1.3712,5.686247
17.428,-0.8321939,1.3301,5.641677
17.46,-0.847543,1.289,5.597107
17.492,-0.8633919,1.2479,5.552537
17.524,-0.8797777,1.2068,5.507967
17.556,-0.8967427,1.1657,5.463397
17.588,-0.9143357,1.1246,5.418827
17.62,-0.932613,1.0835,5.374257
17.652,-0.9516406,1.0424,5.329687
17.684,-0.9714967,1.000004,5.285117
17.716,-0.9922747,1.05833,5.240547
17.748,-1.0140883,1.11666,5.195977
17.78,-1.0370776,1.17499,5.151407
17.812,-1.0614196,1.23332,5.106837
17.844,-1.0873425,1.29165,5.062267
17.876,-1.1151497,1.34998,5.017697
17.908,-1.1452607,1.40831,4.973127
17.94,-1.1782838,1.46664,4.928557
17.972,-1.215164,1.52497,4.883987
18.004,-1.2575221,1.5833,4.839417
18.036,-1.3086262,1.64163,4.794847
18.068,-1.3775999,1.69996,4.750277
18.1,-1.52,1.7,4.705657
18.09,-2.3956,1.7,4.700916
18.08,-3.2672,1.7,4.700916
18.07,-4.1388,1.7,4.700916
18.06,-5.0104,1.7,4.700916
18.05,-5.882,1.7,4.700916
18.04,-6.7536,1.7,4.700916
18.03,-7.6252,1.7,4.700916
18.02,-8.4968,1.7,4.700916
18.01,-9.3684,1.7,4.700916
18,-10.24,1.7,4.700916
17.99,-11.1116,1.7,4.700916
17.98,-11.9832,1.7,4.700916
17.97,-12.8548,1.7,4.700916
17.96,-13.7264,1.7,4.700916
17.95,-14.598,1.7,4.700916
17.94,-15.4696,1.7,4.700916
17.93,-16.3412,1.7,4.700916
17.92,-17.2128,1.7,4.700916
17.91,-18.0844,1.7,4.700916
17.9,-18.956,1.7,4.700916
17.89,-19.8276,1.7,4.700916
17.88,-20.6992,1.7,4.700916
17.87,-21.5708,1.7,4.700916
17.86,-22.4424,1.7,4.700916
17.85,-23.314,1.7,4.700916
17.84,-24.1856,1.7,4.700916
17.83,-25.0572,1.7,4.700916
17.82,-25.9288,1.7,4.700916
17.81,-26.8004,1.7,4.700916
17.8,-27.672,1.7,4.700916
17.79,-28.5436,1.7,4.700916
17.78,-29.4152,1.7,4.700916
17.77,-30.2868,1.7,4.700916
17.76,-31.1584,1.7,4.700916
17.75,-32.03,1.7,4.700916
17.74,-32.9016,1.7,4.700916
17.73,-33.7732,1.7,4.700916
17.72,-34.6448,1.7,4.700916
17.71,-35.5164,1.7,4.700916
17.7,-36.388,1.7,4.700916
17.69,-37.2596,1.7,4.700916
17.68,-38.1312,1.7,4.700916
17.67,-39.0028,1.7,4.700916
17.66,-39.8744,1.7,4.700916
17.65,-40.746,1.7,4.700916
17.64,-41.312856,1.65883,4.700916
17.63,-41.56493,1.61766,4.700916
17.62,-41.754728,1.57649,4.700916
17.61,-41.91304,1.53532,4.700916
17.6,-42.051374,1.49415,4.63822504
17.544,-42.636585,1.45298,4.5178584
17.488,-43.062955,1.41181,4.35175243
17.432,-43.407938,1.37064,4.15685476
17.376,-43.700185,1.32947,3.95221221
17.32,-43.95414,1.2883,3.75575536
17.264,-44.178313,1.24713,3.58156362
17.208,-44.378224,1.20596,3.4382287
17.152,-44.557691,1.16479,3.32857749
17.096,-44.719485,1.12362,3.25060329
17.04,-44.865689,1.08245,3.19914032
16.984,-44.997912,1.04128,3.16770113
16.928,-45.117423,1.000004,3.14999038
16.872,-45.225239,1.05833,3.14083529
16.816,-45.322186,1.11666,3.13651932
16.76,-45.408943,1.17499,3.13467783
16.704,-45.48607,1.23332,3.13397347
16.648,-45.554029,1.29165,3.13373481
16.592,-45.613206,1.34998,3.13366427
16.536,-45.663916,1.40831,3.13364645
16.48,-45.706419,1.46664,3.13364271
16.424,-45.740926,1.52497,3.13364209
16.368,-45.767601,1.5833,3.13364201
16.312,-45.786568,1.64163,3.133642
16.256,-45.797914,1.69996,3.133642
16.2,-45.9,1.7,3.133642
15.697,-45.895791,1.7,3.133642
15.194,-45.891792,1.7,3.133642
14.691,-45.887793,1.7,3.133642
14.188,-45.883795,1.7,3.133642
13.685,-45.879796,1.7,3.133642
13.182,-45.875797,1.7,3.133642
12.679,-45.871798,1.7,3.133642
12.176,-45.867799,1.7,3.133642
11.673,-45.8638,1.7,3.133642
11.17,-45.859802,1.7,3.133642
10.667,-45.855803,1.7,3.133642
10.164,-45.851804,1.7,3.133642
9.661,-45.847805,1.7,3.133642
9.158,-45.843806,1.7,3.133642
8.655,-45.839807,1.7,3.133642
8.152,-45.835808,1.7,3.133642
7.649,-45.83181,1.7,3.133642
7.146,-45.827811,1.7,3.133642
6.643,-45.823812,1.7,3.133642
6.14,-45.819813,1.7,3.133642
5.637,-45.815814,1.7,3.133642
5.134,-45.811815,1.7,3.133642
4.631,-45.807816,1.7,3.133642
4.128,-45.803818,1.7,3.133642
3.625,-45.799819,1.7,3.133642
3.122,-45.79582,1.7,3.133642
2.619,-45.791821,1.7,3.133642
2.116,-45.787822,1.7,3.133642
1.613,-45.783823,1.7,3.133642
1.11,-45.779825,1.7,3.133642
0.607,-45.775826,1.7,3.133642
0.104,-45.771827,1.7,3.133642
-0.399,-45.767828,1.7,3.133642
-0.902,-45.763829,1.7,3.133642
-1.405,-45.75983,1.7,3.133642
-1.908,-45.755831,1.7,3.133642
-2.411,-45.751833,1.7,3.133642
-2.914,-45.747834,1.7,3.133642
-3.417,-45.743835,1.7,3.133642
-3.92,-45.739836,1.7,3.133642
-4.423,-45.735837,1.7,3.133642
-4.926,-45.731838,1.7,3.133642
-5.429,-45.727839,1.7,3.133642
-5.932,-45.723841,1.7,3.133642
-6.435,-45.719842,1.7,3.133642
-6.938,-45.715843,1.7,3.133642
-7.441,-45.711844,1.7,3.133642
-7.944,-45.707845,1.7,3.133642
-8.447,-45.703846,1.7,3.133642
-8.95,-45.699848,1.7,3.133642
-9.453,-45.695849,1.7,3.133642
-9.956,-45.69185,1.7,3.133642
-10.459,-45.687851,1.7,3.133642
-10.962,-45.683852,1.7,3.133642
-11.465,-45.679853,1.7,3.133642
-11.968,-45.675854,1.7,3.133642
-12.471,-45.671856,1.7,3.133642
-12.974,-45.667857,1.7,3.133642
-13.477,-45.663858,1.7,3.133642
-13.98,-45.659859,1.7,3.133642
-14.483,-45.65586,1.7,3.133642
-14.986,-45.651861,1.7,3.133642
-15.489,-45.647862,1.7,3.133642
-15.992,-45.643864,1.7,3.133642
-16.495,-45.639865,1.7,3.133642
-16.998,-45.635866,1.7,3.133642
-17.501,-45.631867,1.7,3.133642
-18.004,-45.627868,1.7,3.133642
-18.507,-45.623869,1.7,3.133642
-19.01,-45.619871,1.7,3.133642
-19.513,-45.615872,1.7,3.133642
-20.016,-45.611873,1.7,3.133642
-20.519,-45.607874,1.7,3.133642
-21.022,-45.603875,1.7,3.133642
-21.525,-45.599876,1.7,3.133642
-22.028,-45.595877,1.7,3.133642
