# x_m,y_m,w_tr_right_m,w_tr_left_m
29.1440,-27.1009,0.8712,0.8712
29.2341,-27.1009,0.9020,0.9020
29.3242,-27.1009,0.8849,0.8849
29.4143,-27.1009,0.8746,0.8746
29.5044,-27.1009,0.8712,0.8712
29.5945,-27.1009,0.8396,0.8396
29.6846,-27.1009,0.8144,0.8144
29.7747,-27.1910,0.8849,0.8849
29.8648,-27.1910,0.8746,0.8746
29.9548,-27.1910,0.8712,0.8712
30.0449,-27.1910,0.8712,0.8712
30.1350,-27.1910,0.8712,0.8712
30.2251,-27.1910,0.8712,0.8712
30.3152,-27.1910,0.8712,0.8712
30.4053,-27.1910,0.8712,0.8712
30.4954,-27.1910,0.8712,0.8712
30.5855,-27.2811,0.9020,0.9020
30.6756,-27.1910,0.8712,0.8712
30.7657,-27.1910,0.8712,0.8712
30.8557,-27.1910,0.8712,0.8712
30.9458,-27.1910,0.8712,0.8712
31.0359,-27.1910,0.8712,0.8712
31.1260,-27.1910,0.8712,0.8712
31.2161,-27.1910,0.8712,0.8712
31.3062,-27.1910,0.8712,0.8712
31.3963,-27.1910,0.8746,0.8746
31.4864,-27.1910,0.8849,0.8849
31.5765,-27.1009,0.8144,0.8144
31.6666,-27.1009,0.8396,0.8396
31.7566,-27.1009,0.8712,0.8712
31.8467,-27.1009,0.8849,0.8849
31.9368,-27.1009,0.9020,0.9020
32.0269,-27.1009,0.8849,0.8849
32.1170,-27.1009,0.8712,0.8712
32.2071,-27.0108,0.8849,0.8849
32.2972,-27.0108,0.9020,0.9020
32.3873,-26.9207,0.8396,0.8396
32.4774,-26.9207,0.8712,0.8712
32.5675,-26.9207,0.9020,0.9020
32.6575,-26.8307,0.8712,0.8712
32.7476,-26.8307,0.9020,0.9020
32.8377,-26.8307,0.8712,0.8712
32.9278,-26.7406,0.8712,0.8712
33.0179,-26.7406,0.9020,0.9020
33.1080,-26.6505,0.8746,0.8746
33.1981,-26.6505,0.8746,0.8746
33.2882,-26.5604,0.9087,0.9087
33.3783,-26.5604,0.8712,0.8712
33.4684,-26.4703,0.9087,0.9087
33.5584,-26.3802,0.8746,0.8746
33.6485,-26.3802,0.8746,0.8746
33.7386,-26.2901,0.9087,0.9087
33.8287,-26.2000,0.9087,0.9087
33.9188,-26.2000,0.8746,0.8746
34.0089,-26.1099,0.9087,0.9087
34.0990,-26.0198,0.9120,0.9120
34.1891,-25.9298,0.9120,0.9120
34.2792,-25.8397,0.9120,0.9120
34.3693,-25.7496,0.9120,0.9120
34.4593,-25.6595,0.9120,0.9120
34.5494,-25.5694,0.9120,0.9120
34.6395,-25.4793,0.9120,0.9120
34.7296,-25.3892,0.9120,0.9120
34.8197,-25.2991,0.9120,0.9120
34.9098,-25.2090,0.9120,0.9120
34.9999,-25.1189,0.9120,0.9120
35.0900,-25.0289,0.9087,0.9087
35.1801,-24.9388,0.8746,0.8746
35.1801,-24.8487,0.8746,0.8746
35.2702,-24.7586,0.9087,0.9087
35.3602,-24.6685,0.9120,0.9120
35.4503,-24.5784,0.9120,0.9120
35.5404,-24.4883,0.9087,0.9087
35.5404,-24.3982,0.8746,0.8746
35.6305,-24.3081,0.9087,0.9087
35.7206,-24.2180,0.9120,0.9120
35.8107,-24.1280,0.9120,0.9120
35.9008,-24.0379,0.9087,0.9087
35.9008,-23.9478,0.8746,0.8746
35.9909,-23.8577,0.9087,0.9087
36.0810,-23.7676,0.9120,0.9120
36.1711,-23.6775,0.9120,0.9120
36.2611,-23.5874,0.9120,0.9120
36.3512,-23.4973,0.9087,0.9087
36.3512,-23.4072,0.8746,0.8746
36.4413,-23.3171,0.9087,0.9087
36.5314,-23.2271,0.9120,0.9120
36.6215,-23.1370,0.9120,0.9120
36.7116,-23.0469,0.9120,0.9120
36.8017,-22.9568,0.9087,0.9087
36.8017,-22.8667,0.8746,0.8746
36.8918,-22.7766,0.9087,0.9087
36.9819,-22.6865,0.9120,0.9120
37.0720,-22.5964,0.9120,0.9120
37.1620,-22.5063,0.9120,0.9120
37.2521,-22.4162,0.9120,0.9120
37.3422,-22.3262,0.9087,0.9087
37.3422,-22.2361,0.8746,0.8746
37.4323,-22.1460,0.9087,0.9087
37.5224,-22.0559,0.9120,0.9120
37.6125,-21.9658,0.9120,0.9120
37.7026,-21.8757,0.9120,0.9120
37.7927,-21.7856,0.9087,0.9087
37.8828,-21.6955,0.8746,0.8746
37.8828,-21.6054,0.8746,0.8746
37.9729,-21.5153,0.9087,0.9087
38.0629,-21.4253,0.9120,0.9120
38.1530,-21.3352,0.9120,0.9120
38.2431,-21.2451,0.9120,0.9120
38.3332,-21.1550,0.9087,0.9087
38.4233,-21.0649,0.8746,0.8746
38.4233,-20.9748,0.8746,0.8746
38.5134,-20.8847,0.9087,0.9087
38.6035,-20.7946,0.9120,0.9120
38.6936,-20.7045,0.9120,0.9120
38.7837,-20.6144,0.9120,0.9120
38.8738,-20.5244,0.9087,0.9087
38.8738,-20.4343,0.8746,0.8746
38.9638,-20.3442,0.9087,0.9087
39.0539,-20.2541,0.9120,0.9120
39.1440,-20.1640,0.9120,0.9120
39.2341,-20.0739,0.9120,0.9120
39.3242,-19.9838,0.9087,0.9087
39.3242,-19.8937,0.8746,0.8746
39.4143,-19.8036,0.9087,0.9087
39.5044,-19.7135,0.9120,0.9120
39.5945,-19.6235,0.9120,0.9120
39.6846,-19.5334,0.9120,0.9120
39.7747,-19.4433,0.9120,0.9120
39.8647,-19.3532,0.9120,0.9120
39.9548,-19.3532,0.8537,0.8537
40.0449,-19.2631,0.8746,0.8746
40.1350,-19.2631,0.8288,0.8288
40.2251,-19.2631,0.7886,0.7886
40.3152,-19.2631,0.7545,0.7545
40.4053,-19.1730,0.8144,0.8144
40.4954,-19.1730,0.7960,0.7960
40.5855,-19.1730,0.7848,0.7848
40.6756,-19.1730,0.7811,0.7811
40.7656,-19.1730,0.7811,0.7811
40.8557,-19.1730,0.7848,0.7848
40.9458,-19.1730,0.7960,0.7960
41.0359,-19.1730,0.8144,0.8144
41.1260,-19.2631,0.7545,0.7545
41.2161,-19.2631,0.7886,0.7886
41.3062,-19.2631,0.8288,0.8288
41.3963,-19.2631,0.8746,0.8746
41.4864,-19.2631,0.9087,0.9087
41.5765,-19.3532,0.9120,0.9120
41.6665,-19.3532,0.9087,0.9087
41.7566,-19.4433,0.9120,0.9120
41.8467,-19.5334,0.9087,0.9087
41.9368,-19.6235,0.8746,0.8746
41.9368,-19.7135,0.9120,0.9120
42.0269,-19.8036,0.9087,0.9087
42.0269,-19.8937,0.8537,0.8537
42.1170,-19.9838,0.8746,0.8746
42.2071,-20.0739,0.9087,0.9087
42.2071,-20.1640,0.8537,0.8537
42.2972,-20.2541,0.8746,0.8746
42.3873,-20.3442,0.9087,0.9087
42.3873,-20.4343,0.8537,0.8537
42.4774,-20.5244,0.8746,0.8746
42.5674,-20.6144,0.9087,0.9087
42.6575,-20.7045,0.8746,0.8746
42.6575,-20.7946,0.9087,0.9087
42.7476,-20.8847,0.9087,0.9087
42.8377,-20.9748,0.8712,0.8712
42.8377,-21.0649,0.9087,0.9087
42.8377,-21.1550,0.8537,0.8537
42.9278,-21.2451,0.8746,0.8746
43.0179,-21.3352,0.9087,0.9087
43.0179,-21.4253,0.8537,0.8537
43.1080,-21.5153,0.8746,0.8746
43.1981,-21.6054,0.9087,0.9087
43.2882,-21.6955,0.8746,0.8746
43.2882,-21.7856,0.9087,0.9087
43.3783,-21.8757,0.9087,0.9087
43.4683,-21.9658,0.8712,0.8712
43.4683,-22.0559,0.9087,0.9087
43.4683,-22.1460,0.8537,0.8537
43.5584,-22.2361,0.8746,0.8746
43.6485,-22.3262,0.9087,0.9087
43.6485,-22.4162,0.8537,0.8537
43.7386,-22.5063,0.8746,0.8746
43.8287,-22.5964,0.9087,0.9087
43.9188,-22.6865,0.8712,0.8712
43.9188,-22.7766,0.9087,0.9087
43.9188,-22.8667,0.8537,0.8537
44.0089,-22.9568,0.8746,0.8746
44.0990,-23.0469,0.9087,0.9087
44.0990,-23.1370,0.8537,0.8537
44.1891,-23.2271,0.8746,0.8746
44.2792,-23.3171,0.9087,0.9087
44.3692,-23.4072,0.8712,0.8712
44.3692,-23.4973,0.9087,0.9087
44.3692,-23.5874,0.8537,0.8537
44.4593,-23.6775,0.8746,0.8746
44.5494,-23.7676,0.9087,0.9087
44.6395,-23.8577,0.8712,0.8712
44.6395,-23.9478,0.9087,0.9087
44.6395,-24.0379,0.8537,0.8537
44.7296,-24.1280,0.8746,0.8746
44.8197,-24.2180,0.9087,0.9087
44.9098,-24.3081,0.8746,0.8746
44.9098,-24.3982,0.9087,0.9087
44.9999,-24.4883,0.9087,0.9087
45.0900,-24.5784,0.8712,0.8712
45.0900,-24.6685,0.9087,0.9087
45.0900,-24.7586,0.8537,0.8537
45.1801,-24.8487,0.8746,0.8746
45.2701,-24.9388,0.9087,0.9087
45.3602,-25.0289,0.8712,0.8712
45.3602,-25.1189,0.9087,0.9087
45.3602,-25.2090,0.8537,0.8537
45.4503,-25.2991,0.8746,0.8746
45.5404,-25.3892,0.9087,0.9087
45.6305,-25.4793,0.8712,0.8712
45.6305,-25.5694,0.9087,0.9087
45.6305,-25.6595,0.8537,0.8537
45.7206,-25.7496,0.8746,0.8746
45.8107,-25.8397,0.9087,0.9087
45.9008,-25.9298,0.8712,0.8712
45.9008,-26.0198,0.9087,0.9087
45.9008,-26.1099,0.8537,0.8537
45.9909,-26.2000,0.8746,0.8746
45.9909,-26.2901,0.8288,0.8288
46.0810,-26.3802,0.8712,0.8712
46.1710,-26.4703,0.9087,0.9087
46.2611,-26.5604,0.8712,0.8712
46.2611,-26.6505,0.9087,0.9087
46.2611,-26.7406,0.8537,0.8537
46.3512,-26.8307,0.8746,0.8746
46.4413,-26.9207,0.9087,0.9087
46.5314,-27.0108,0.8712,0.8712
46.5314,-27.1009,0.9087,0.9087
46.5314,-27.1910,0.8537,0.8537
46.6215,-27.2811,0.8746,0.8746
46.6215,-27.3712,0.8288,0.8288
46.7116,-27.4613,0.8712,0.8712
46.8017,-27.5514,0.9087,0.9087
46.8918,-27.6415,0.8746,0.8746
46.8918,-27.7316,0.9087,0.9087
46.8918,-27.8216,0.8537,0.8537
46.9819,-27.9117,0.8746,0.8746
47.0719,-28.0018,0.9087,0.9087
47.0719,-28.0919,0.8712,0.8712
47.1620,-28.1820,0.9087,0.9087
47.2521,-28.2721,0.8746,0.8746
47.2521,-28.3622,0.9087,0.9087
47.2521,-28.4523,0.8537,0.8537
47.3422,-28.5424,0.8746,0.8746
47.4323,-28.6325,0.9087,0.9087
47.5224,-28.7225,0.8712,0.8712
47.5224,-28.8126,0.9087,0.9087
47.5224,-28.9027,0.8537,0.8537
47.6125,-28.9928,0.8746,0.8746
47.6125,-29.0829,0.8288,0.8288
47.7026,-29.1730,0.8712,0.8712
47.7927,-29.2631,0.9087,0.9087
47.8828,-29.3532,0.8746,0.8746
47.8828,-29.4433,0.9087,0.9087
47.8828,-29.5334,0.8537,0.8537
47.9728,-29.6234,0.8746,0.8746
48.0629,-29.7135,0.9087,0.9087
48.1530,-29.8036,0.8712,0.8712
48.1530,-29.8937,0.9087,0.9087
48.1530,-29.9838,0.8537,0.8537
48.2431,-30.0739,0.8746,0.8746
48.2431,-30.1640,0.8288,0.8288
48.3332,-30.2541,0.8712,0.8712
48.4233,-30.3442,0.9087,0.9087
48.5134,-30.4343,0.8746,0.8746
48.5134,-30.5243,0.9087,0.9087
48.5134,-30.6144,0.8537,0.8537
48.6035,-30.7045,0.8746,0.8746
48.6936,-30.7946,0.9087,0.9087
48.7837,-30.8847,0.8712,0.8712
48.7837,-30.9748,0.9087,0.9087
48.7837,-31.0649,0.8537,0.8537
48.8737,-31.1550,0.8746,0.8746
48.8737,-31.2451,0.8288,0.8288
48.9638,-31.3352,0.8712,0.8712
49.0539,-31.4252,0.9087,0.9087
49.1440,-31.5153,0.8746,0.8746
49.1440,-31.6054,0.9087,0.9087
49.1440,-31.6955,0.8537,0.8537
49.2341,-31.7856,0.8746,0.8746
49.3242,-31.8757,0.9087,0.9087
49.4143,-31.9658,0.8712,0.8712
49.4143,-32.0559,0.9087,0.9087
49.4143,-32.1460,0.8537,0.8537
49.5044,-32.2361,0.8746,0.8746
49.5044,-32.3261,0.8288,0.8288
49.5945,-32.4162,0.8712,0.8712
49.6846,-32.5063,0.9087,0.9087
49.7746,-32.5964,0.8712,0.8712
49.7746,-32.6865,0.9087,0.9087
49.7746,-32.7766,0.8537,0.8537
49.8647,-32.8667,0.8746,0.8746
49.8647,-32.9568,0.8288,0.8288
49.9548,-33.0469,0.8712,0.8712
50.0449,-33.1370,0.9087,0.9087
50.1350,-33.2270,0.8746,0.8746
50.1350,-33.3171,0.9087,0.9087
50.1350,-33.4072,0.8537,0.8537
50.2251,-33.4973,0.8746,0.8746
50.3152,-33.5874,0.9087,0.9087
50.4053,-33.6775,0.8712,0.8712
50.4053,-33.7676,0.9087,0.9087
50.4053,-33.8577,0.8537,0.8537
50.4954,-33.9478,0.8746,0.8746
50.5855,-34.0379,0.9087,0.9087
50.6755,-34.1279,0.8746,0.8746
50.6755,-34.2180,0.9087,0.9087
50.7656,-34.3081,0.9087,0.9087
50.7656,-34.3982,0.8537,0.8537
50.8557,-34.4883,0.8746,0.8746
50.9458,-34.5784,0.9087,0.9087
51.0359,-34.6685,0.9087,0.9087
51.0359,-34.7586,0.8537,0.8537
51.1260,-34.8487,0.8746,0.8746
51.2161,-34.9388,0.9087,0.9087
51.3062,-35.0288,0.9120,0.9120
51.3963,-35.1189,0.9120,0.9120
51.4864,-35.2090,0.9120,0.9120
51.5764,-35.2991,0.9120,0.9120
51.6665,-35.3892,0.9120,0.9120
51.7566,-35.4793,0.9120,0.9120
51.8467,-35.5694,0.9120,0.9120
51.9368,-35.6595,0.9120,0.9120
52.0269,-35.7496,0.9120,0.9120
52.1170,-35.8397,0.9087,0.9087
52.2071,-35.9297,0.8746,0.8746
52.2972,-35.9297,0.8746,0.8746
52.3873,-36.0198,0.9087,0.9087
52.4773,-36.1099,0.9087,0.9087
52.5674,-36.2000,0.8746,0.8746
52.6575,-36.2000,0.8746,0.8746
52.7476,-36.2901,0.9087,0.9087
52.8377,-36.3802,0.8746,0.8746
52.9278,-36.3802,0.8746,0.8746
53.0179,-36.4703,0.9087,0.9087
53.1080,-36.4703,0.8712,0.8712
53.1981,-36.5604,0.9087,0.9087
53.2882,-36.6505,0.8712,0.8712
53.3782,-36.6505,0.9087,0.9087
53.4683,-36.7406,0.8712,0.8712
53.5584,-36.7406,0.9087,0.9087
53.6485,-36.7406,0.8712,0.8712
53.7386,-36.8306,0.9020,0.9020
53.8287,-36.8306,0.8712,0.8712
53.9188,-36.8306,0.8396,0.8396
54.0089,-36.9207,0.9020,0.9020
54.0990,-36.9207,0.8712,0.8712
54.1891,-37.0108,0.8712,0.8712
54.2791,-37.0108,0.9020,0.9020
54.3692,-37.0108,0.8849,0.8849
54.4593,-37.0108,0.8712,0.8712
54.5494,-37.1009,0.8849,0.8849
54.6395,-37.1009,0.9020,0.9020
54.7296,-37.1009,0.8849,0.8849
54.8197,-37.1009,0.8746,0.8746
54.9098,-37.1009,0.8712,0.8712
54.9999,-37.1009,0.8396,0.8396
55.0900,-37.1910,0.9020,0.9020
55.1800,-37.1910,0.8849,0.8849
55.2701,-37.1910,0.8746,0.8746
55.3602,-37.1910,0.8712,0.8712
55.4503,-37.1910,0.8712,0.8712
55.5404,-37.1910,0.8712,0.8712
55.6305,-37.1910,0.8712,0.8712
55.7206,-37.1910,0.8712,0.8712
55.8107,-37.1910,0.8712,0.8712
55.9008,-37.1910,0.8712,0.8712
55.9909,-37.1910,0.8712,0.8712
56.0809,-37.1910,0.8746,0.8746
56.1710,-37.1910,0.8849,0.8849
56.2611,-37.1910,0.9020,0.9020
56.3512,-37.1009,0.8396,0.8396
56.4413,-37.1009,0.8712,0.8712
56.5314,-37.1009,0.8712,0.8712
56.6215,-37.1009,0.8746,0.8746
56.7116,-37.1009,0.8849,0.8849
56.8017,-37.1009,0.8849,0.8849
56.8918,-37.1009,0.8712,0.8712
56.9818,-37.0108,0.8712,0.8712
57.0719,-37.0108,0.8849,0.8849
57.1620,-37.0108,0.8849,0.8849
57.2521,-37.0108,0.8712,0.8712
57.3422,-36.9207,0.8712,0.8712
57.4323,-36.9207,0.9020,0.9020
57.5224,-36.8306,0.8396,0.8396
57.6125,-36.8306,0.8712,0.8712
57.7026,-36.8306,0.9020,0.9020
57.7927,-36.8306,0.8712,0.8712
57.8827,-36.7406,0.9020,0.9020
57.9728,-36.7406,0.8712,0.8712
58.0629,-36.6505,0.8712,0.8712
58.1530,-36.6505,0.9020,0.9020
58.2431,-36.5604,0.8712,0.8712
58.3332,-36.5604,0.9087,0.9087
58.4233,-36.5604,0.8712,0.8712
58.5134,-36.4703,0.9020,0.9020
58.6035,-36.4703,0.8712,0.8712
58.6936,-36.3802,0.8712,0.8712
58.7836,-36.3802,0.9020,0.9020
58.8737,-36.3802,0.8712,0.8712
58.9638,-36.2901,0.9087,0.9087
59.0539,-36.2901,0.8712,0.8712
59.1440,-36.2000,0.9020,0.9020
59.2341,-36.2000,0.9020,0.9020
59.3242,-36.1099,0.8712,0.8712
59.4143,-36.1099,0.9087,0.9087
59.5044,-36.1099,0.8712,0.8712
59.5945,-36.0198,0.9020,0.9020
59.6845,-36.0198,0.8712,0.8712
59.7746,-35.9297,0.8712,0.8712
59.8647,-35.9297,0.9020,0.9020
59.9548,-35.9297,0.8712,0.8712
60.0449,-35.8397,0.9020,0.9020
60.1350,-35.8397,0.8712,0.8712
60.2251,-35.7496,0.8712,0.8712
60.3152,-35.7496,0.9020,0.9020
60.4053,-35.6595,0.8712,0.8712
60.4954,-35.6595,0.9087,0.9087
60.5854,-35.6595,0.8712,0.8712
60.6755,-35.5694,0.9020,0.9020
60.7656,-35.5694,0.8712,0.8712
60.8557,-35.4793,0.8712,0.8712
60.9458,-35.4793,0.9020,0.9020
61.0359,-35.4793,0.8712,0.8712
61.1260,-35.3892,0.9020,0.9020
61.2161,-35.3892,0.8712,0.8712
61.3062,-35.2991,0.8712,0.8712
61.3963,-35.2991,0.9020,0.9020
61.4863,-35.2991,0.8712,0.8712
61.5764,-35.2090,0.9087,0.9087
61.6665,-35.2090,0.8712,0.8712
61.7566,-35.1189,0.9020,0.9020
61.8467,-35.1189,0.9020,0.9020
61.9368,-35.0288,0.8712,0.8712
62.0269,-35.0288,0.9087,0.9087
62.1170,-35.0288,0.8712,0.8712
62.2071,-34.9388,0.9020,0.9020
62.2972,-34.9388,0.8712,0.8712
62.3872,-34.8487,0.8712,0.8712
62.4773,-34.8487,0.9020,0.9020
62.5674,-34.8487,0.8712,0.8712
62.6575,-34.7586,0.9020,0.9020
62.7476,-34.7586,0.8712,0.8712
62.8377,-34.6685,0.8712,0.8712
62.9278,-34.6685,0.9020,0.9020
63.0179,-34.6685,0.8712,0.8712
63.1080,-34.5784,0.9087,0.9087
63.1981,-34.5784,0.8712,0.8712
63.2881,-34.4883,0.9020,0.9020
63.3782,-34.4883,0.9020,0.9020
63.4683,-34.3982,0.8712,0.8712
63.5584,-34.3982,0.9087,0.9087
63.6485,-34.3982,0.8712,0.8712
63.7386,-34.3081,0.9020,0.9020
63.8287,-34.3081,0.8712,0.8712
63.9188,-34.2180,0.8712,0.8712
64.0089,-34.2180,0.9020,0.9020
64.0990,-34.2180,0.8712,0.8712
64.1890,-34.1279,0.9020,0.9020
64.2791,-34.1279,0.8712,0.8712
64.3692,-34.0379,0.8712,0.8712
64.4593,-34.0379,0.9020,0.9020
64.5494,-34.0379,0.8712,0.8712
64.6395,-33.9478,0.9020,0.9020
64.7296,-33.9478,0.8712,0.8712
64.8197,-33.8577,0.8712,0.8712
64.9098,-33.8577,0.9020,0.9020
64.9999,-33.8577,0.8712,0.8712
65.0899,-33.7676,0.9020,0.9020
65.1800,-33.7676,0.8712,0.8712
65.2701,-33.6775,0.8712,0.8712
65.3602,-33.6775,0.9020,0.9020
65.4503,-33.6775,0.8712,0.8712
65.5404,-33.5874,0.9020,0.9020
65.6305,-33.5874,0.8712,0.8712
65.7206,-33.5874,0.8396,0.8396
65.8107,-33.4973,0.9020,0.9020
65.9008,-33.4973,0.8712,0.8712
65.9908,-33.4072,0.9020,0.9020
66.0809,-33.4072,0.9020,0.9020
66.1710,-33.4072,0.8712,0.8712
66.2611,-33.3171,0.9087,0.9087
66.3512,-33.3171,0.8712,0.8712
66.4413,-33.2270,0.9020,0.9020
66.5314,-33.2270,0.9020,0.9020
66.6215,-33.2270,0.8712,0.8712
66.7116,-33.1370,0.9020,0.9020
66.8017,-33.1370,0.8712,0.8712
66.8917,-33.0469,0.8712,0.8712
66.9818,-33.0469,0.9020,0.9020
67.0719,-33.0469,0.8712,0.8712
67.1620,-32.9568,0.9020,0.9020
67.2521,-32.9568,0.8712,0.8712
67.3422,-32.8667,0.8712,0.8712
67.4323,-32.8667,0.9020,0.9020
67.5224,-32.8667,0.8712,0.8712
67.6125,-32.7766,0.9020,0.9020
67.7026,-32.7766,0.8712,0.8712
67.7926,-32.6865,0.8712,0.8712
67.8827,-32.6865,0.9020,0.9020
67.9728,-32.6865,0.8712,0.8712
68.0629,-32.5964,0.9020,0.9020
68.1530,-32.5964,0.8712,0.8712
68.2431,-32.5964,0.8396,0.8396
68.3332,-32.5063,0.9020,0.9020
68.4233,-32.5063,0.8712,0.8712
68.5134,-32.4162,0.9020,0.9020
68.6035,-32.4162,0.9020,0.9020
68.6935,-32.4162,0.8712,0.8712
68.7836,-32.3261,0.9087,0.9087
68.8737,-32.3261,0.8712,0.8712
68.9638,-32.2361,0.9020,0.9020
69.0539,-32.2361,0.9020,0.9020
69.1440,-32.2361,0.8712,0.8712
69.2341,-32.1460,0.9020,0.9020
69.3242,-32.1460,0.8712,0.8712
69.4143,-32.0559,0.8712,0.8712
69.5044,-32.0559,0.9020,0.9020
69.5944,-32.0559,0.8712,0.8712
69.6845,-31.9658,0.9020,0.9020
69.7746,-31.9658,0.8712,0.8712
69.8647,-31.8757,0.8712,0.8712
69.9548,-31.8757,0.9020,0.9020
70.0449,-31.8757,0.8712,0.8712
70.1350,-31.7856,0.9020,0.9020
70.2251,-31.7856,0.8712,0.8712
70.3152,-31.6955,0.8712,0.8712
70.4053,-31.6955,0.9020,0.9020
70.4953,-31.6955,0.8712,0.8712
70.5854,-31.6054,0.9020,0.9020
70.6755,-31.6054,0.8712,0.8712
70.7656,-31.6054,0.8396,0.8396
70.8557,-31.5153,0.9020,0.9020
70.9458,-31.5153,0.8712,0.8712
71.0359,-31.4252,0.9020,0.9020
71.1260,-31.4252,0.9020,0.9020
71.2161,-31.4252,0.8712,0.8712
71.3062,-31.3352,0.9087,0.9087
71.3962,-31.3352,0.8712,0.8712
71.4863,-31.2451,0.9020,0.9020
71.5764,-31.2451,0.9020,0.9020
71.6665,-31.2451,0.8712,0.8712
71.7566,-31.1550,0.9020,0.9020
71.8467,-31.1550,0.8712,0.8712
71.9368,-31.0649,0.8712,0.8712
72.0269,-31.0649,0.9020,0.9020
72.1170,-31.0649,0.8712,0.8712
72.2071,-30.9748,0.9020,0.9020
72.2971,-30.9748,0.8712,0.8712
72.3872,-30.8847,0.8712,0.8712
72.4773,-30.8847,0.9020,0.9020
72.5674,-30.8847,0.8712,0.8712
72.6575,-30.7946,0.9020,0.9020
72.7476,-30.7946,0.8712,0.8712
72.8377,-30.7946,0.8396,0.8396
72.9278,-30.7045,0.9020,0.9020
73.0179,-30.7045,0.8712,0.8712
73.1080,-30.6144,0.9020,0.9020
73.1980,-30.6144,0.9020,0.9020
73.2881,-30.6144,0.8712,0.8712
73.3782,-30.5243,0.9020,0.9020
73.4683,-30.5243,0.8712,0.8712
73.5584,-30.4343,0.8712,0.8712
73.6485,-30.4343,0.9020,0.9020
73.7386,-30.4343,0.8712,0.8712
73.8287,-30.3442,0.8712,0.8712
73.9188,-30.3442,0.9020,0.9020
74.0089,-30.3442,0.8712,0.8712
74.0989,-30.2541,0.9020,0.9020
74.1890,-30.2541,0.9020,0.9020
74.2791,-30.2541,0.8712,0.8712
74.3692,-30.1640,0.9020,0.9020
74.4593,-30.1640,0.8712,0.8712
74.5494,-30.0739,0.8712,0.8712
74.6395,-30.0739,0.9020,0.9020
74.7296,-30.0739,0.8712,0.8712
74.8197,-29.9838,0.9087,0.9087
74.9098,-29.9838,0.9020,0.9020
74.9998,-29.8937,0.9254,0.9254
75.0899,-29.8937,0.9087,0.9087
75.1800,-29.8036,0.9254,0.9254
75.2701,-29.7135,0.9516,0.9516
75.2701,-29.6234,0.9254,0.9254
75.2701,-29.5334,0.8746,0.8746
75.3602,-29.4433,0.9087,0.9087
75.3602,-29.3532,0.8712,0.8712
75.3602,-29.2631,0.8396,0.8396
75.3602,-29.1730,0.8144,0.8144
75.4503,-29.0829,0.8849,0.8849
75.4503,-28.9928,0.8746,0.8746
75.4503,-28.9027,0.8712,0.8712
75.4503,-28.8126,0.8712,0.8712
75.4503,-28.7225,0.8712,0.8712
75.4503,-28.6325,0.8712,0.8712
75.4503,-28.5424,0.8712,0.8712
75.4503,-28.4523,0.8712,0.8712
75.3602,-28.3622,0.7811,0.7811
75.3602,-28.2721,0.7811,0.7811
75.3602,-28.1820,0.7848,0.7848
75.3602,-28.0919,0.7960,0.7960
75.3602,-28.0018,0.8144,0.8144
75.3602,-27.9117,0.8396,0.8396
75.3602,-27.8216,0.8712,0.8712
75.3602,-27.7316,0.8849,0.8849
75.3602,-27.6415,0.9020,0.9020
75.3602,-27.5514,0.8849,0.8849
75.2701,-27.4613,0.8712,0.8712
75.2701,-27.3712,0.8746,0.8746
75.2701,-27.2811,0.8849,0.8849
75.2701,-27.1910,0.8849,0.8849
75.1800,-27.1009,0.8396,0.8396
75.1800,-27.0108,0.8712,0.8712
75.1800,-26.9207,0.8849,0.8849
75.1800,-26.8307,0.9020,0.9020
75.0899,-26.7406,0.8396,0.8396
75.0899,-26.6505,0.8712,0.8712
75.0899,-26.5604,0.8849,0.8849
75.0899,-26.4703,0.9020,0.9020
75.0899,-26.3802,0.8849,0.8849
74.9998,-26.2901,0.8712,0.8712
74.9998,-26.2000,0.8746,0.8746
74.9998,-26.1099,0.8849,0.8849
74.9998,-26.0198,0.8849,0.8849
74.9098,-25.9298,0.8396,0.8396
74.9098,-25.8397,0.8712,0.8712
74.9098,-25.7496,0.8849,0.8849
74.9098,-25.6595,0.9020,0.9020
74.8197,-25.5694,0.8396,0.8396
74.8197,-25.4793,0.8712,0.8712
74.8197,-25.3892,0.8849,0.8849
74.8197,-25.2991,0.9020,0.9020
74.8197,-25.2090,0.8849,0.8849
74.7296,-25.1189,0.8712,0.8712
74.7296,-25.0289,0.8746,0.8746
74.7296,-24.9388,0.8849,0.8849
74.7296,-24.8487,0.8849,0.8849
74.6395,-24.7586,0.8396,0.8396
74.6395,-24.6685,0.8712,0.8712
74.6395,-24.5784,0.8849,0.8849
74.6395,-24.4883,0.9020,0.9020
74.5494,-24.3982,0.8396,0.8396
74.5494,-24.3081,0.8712,0.8712
74.5494,-24.2180,0.8849,0.8849
74.5494,-24.1280,0.9020,0.9020
74.4593,-24.0379,0.8396,0.8396
74.4593,-23.9478,0.8712,0.8712
74.4593,-23.8577,0.8849,0.8849
74.4593,-23.7676,0.9020,0.9020
74.3692,-23.6775,0.8396,0.8396
74.3692,-23.5874,0.8712,0.8712
74.3692,-23.4973,0.8746,0.8746
74.3692,-23.4072,0.8849,0.8849
74.3692,-23.3171,0.8849,0.8849
74.2791,-23.2271,0.8396,0.8396
74.2791,-23.1370,0.8712,0.8712
74.2791,-23.0469,0.8849,0.8849
74.2791,-22.9568,0.8849,0.8849
