# x_m,y_m,w_tr_right_m,w_tr_left_m
-16.7118,15.9621,0.9120,0.9120
-16.6217,15.8720,0.9120,0.9120
-16.5316,15.7819,0.9120,0.9120
-16.4415,15.6918,0.9120,0.9120
-16.3514,15.6017,0.9120,0.9120
-16.2613,15.6017,0.8746,0.8746
-16.1712,15.5116,0.9087,0.9087
-16.0811,15.4216,0.9120,0.9120
-15.9911,15.3315,0.9120,0.9120
-15.9010,15.2414,0.9120,0.9120
-15.8109,15.1513,0.9120,0.9120
-15.7208,15.0612,0.9120,0.9120
-15.6307,14.9711,0.9120,0.9120
-15.5406,14.8810,0.9120,0.9120
-15.4505,14.7909,0.9120,0.9120
-15.3604,14.7008,0.9120,0.9120
-15.2703,14.6107,0.9120,0.9120
-15.1802,14.5207,0.9120,0.9120
-15.0902,14.4306,0.9120,0.9120
-15.0001,14.3405,0.9120,0.9120
-14.9100,14.2504,0.9120,0.9120
-14.8199,14.1603,0.9120,0.9120
-14.7298,14.0702,0.9120,0.9120
-14.6397,13.9801,0.9120,0.9120
-14.5496,13.8900,0.9120,0.9120
-14.4595,13.7999,0.9120,0.9120
-14.3694,13.7098,0.9120,0.9120
-14.2793,13.6198,0.9120,0.9120
-14.1893,13.6198,0.8746,0.8746
-14.0992,13.5297,0.9087,0.9087
-14.0091,13.4396,0.9120,0.9120
-13.9190,13.3495,0.9120,0.9120
-13.8289,13.2594,0.9120,0.9120
-13.7388,13.1693,0.9120,0.9120
-13.6487,13.0792,0.9120,0.9120
-13.5586,12.9891,0.9120,0.9120
-13.4685,12.8990,0.9120,0.9120
-13.3784,12.8089,0.9120,0.9120
-13.2884,12.7189,0.9120,0.9120
-13.1983,12.6288,0.9120,0.9120
-13.1082,12.5387,0.9120,0.9120
-13.0181,12.4486,0.9120,0.9120
-12.9280,12.3585,0.9120,0.9120
-12.8379,12.2684,0.9120,0.9120
-12.7478,12.1783,0.9120,0.9120
-12.6577,12.0882,0.9120,0.9120
-12.5676,11.9981,0.9120,0.9120
-12.4775,11.9080,0.9120,0.9120
-12.3875,11.8180,0.9120,0.9120
-12.2974,11.7279,0.9120,0.9120
-12.2073,11.6378,0.9120,0.9120
-12.1172,11.6378,0.8746,0.8746
-12.0271,11.5477,0.9087,0.9087
-11.9370,11.4576,0.9120,0.9120
-11.8469,11.3675,0.9120,0.9120
-11.7568,11.2774,0.9120,0.9120
-11.6667,11.1873,0.9120,0.9120
-11.5766,11.0972,0.9120,0.9120
-11.4866,11.0071,0.9120,0.9120
-11.3965,10.9171,0.9120,0.9120
-11.3064,10.8270,0.9120,0.9120
-11.2163,10.7369,0.9120,0.9120
-11.1262,10.6468,0.9120,0.9120
-11.0361,10.5567,0.9120,0.9120
-10.9460,10.4666,0.9120,0.9120
-10.8559,10.3765,0.9120,0.9120
-10.7658,10.2864,0.9120,0.9120
-10.6757,10.1963,0.9120,0.9120
-10.5857,10.1062,0.9120,0.9120
-10.4956,10.0162,0.9120,0.9120
-10.4055,9.9261,0.9120,0.9120
-10.3154,9.8360,0.9120,0.9120
-10.2253,9.7459,0.9120,0.9120
-10.1352,9.6558,0.9120,0.9120
-10.0451,9.5657,0.9120,0.9120
-9.9550,9.4756,0.9120,0.9120
-9.8649,9.3855,0.9120,0.9120
-9.7748,9.2954,0.9120,0.9120
-9.6848,9.2954,0.8746,0.8746
-9.5947,9.2053,0.9087,0.9087
-9.5046,9.1153,0.9120,0.9120
-9.4145,9.0252,0.9120,0.9120
-9.3244,8.9351,0.9120,0.9120
-9.2343,8.8450,0.9120,0.9120
-9.1442,8.7549,0.9120,0.9120
-9.0541,8.6648,0.9120,0.9120
-8.9640,8.5747,0.9120,0.9120
-8.8739,8.4846,0.9120,0.9120
-8.7839,8.3945,0.9120,0.9120
-8.6938,8.3044,0.9120,0.9120
-8.6037,8.2144,0.9120,0.9120
-8.5136,8.1243,0.9120,0.9120
-8.4235,8.0342,0.9120,0.9120
-8.3334,7.9441,0.9120,0.9120
-8.2433,7.8540,0.9120,0.9120
-8.1532,7.7639,0.9120,0.9120
-8.0631,7.6738,0.9120,0.9120
-7.9730,7.5837,0.9120,0.9120
-7.8830,7.4936,0.9120,0.9120
-7.7929,7.4035,0.9120,0.9120
-7.7028,7.3135,0.9120,0.9120
-7.6127,7.2234,0.9120,0.9120
-7.5226,7.1333,0.9120,0.9120
-7.4325,7.0432,0.9120,0.9120
-7.3424,6.9531,0.9120,0.9120
-7.2523,6.9531,0.8746,0.8746
-7.1622,6.8630,0.9087,0.9087
-7.0721,6.7729,0.9120,0.9120
-6.9821,6.6828,0.9120,0.9120
-6.8920,6.5927,0.9120,0.9120
-6.8019,6.5026,0.9120,0.9120
-6.7118,6.4126,0.9120,0.9120
-6.6217,6.3225,0.9120,0.9120
-6.5316,6.2324,0.9120,0.9120
-6.4415,6.1423,0.9120,0.9120
-6.3514,6.0522,0.9120,0.9120
-6.2613,5.9621,0.9120,0.9120
-6.1712,5.8720,0.9120,0.9120
-6.0812,5.7819,0.9120,0.9120
-5.9911,5.6918,0.9120,0.9120
-5.9010,5.6017,0.9120,0.9120
-5.8109,5.5117,0.9120,0.9120
-5.7208,5.4216,0.9120,0.9120
-5.6307,5.3315,0.9120,0.9120
-5.5406,5.2414,0.9120,0.9120
-5.4505,5.1513,0.9120,0.9120
-5.3604,5.0612,0.9120,0.9120
-5.2703,4.9711,0.9120,0.9120
-5.1803,4.8810,0.9120,0.9120
-5.0902,4.7909,0.9120,0.9120
-5.0001,4.7008,0.9120,0.9120
-4.9100,4.6108,0.9120,0.9120
-4.8199,4.6108,0.8746,0.8746
-4.7298,4.5207,0.9087,0.9087
-4.6397,4.4306,0.9120,0.9120
-4.5496,4.3405,0.9120,0.9120
-4.4595,4.2504,0.9120,0.9120
-4.3694,4.1603,0.9120,0.9120
-4.2794,4.0702,0.9120,0.9120
-4.1893,3.9801,0.9120,0.9120
-4.0992,3.8900,0.9120,0.9120
-4.0091,3.7999,0.9120,0.9120
-3.9190,3.7099,0.9120,0.9120
-3.8289,3.6198,0.9120,0.9120
-3.7388,3.5297,0.9120,0.9120
-3.6487,3.4396,0.9120,0.9120
-3.5586,3.3495,0.9120,0.9120
-3.4685,3.2594,0.9120,0.9120
-3.3785,3.1693,0.9120,0.9120
-3.2884,3.0792,0.9120,0.9120
-3.1983,2.9891,0.9120,0.9120
-3.1082,2.8990,0.9120,0.9120
-3.0181,2.8090,0.9120,0.9120
-2.9280,2.7189,0.9120,0.9120
-2.8379,2.6288,0.9120,0.9120
-2.7478,2.5387,0.9120,0.9120
-2.6577,2.4486,0.9120,0.9120
-2.5676,2.3585,0.9120,0.9120
-2.4776,2.2684,0.9120,0.9120
-2.3875,2.2684,0.8746,0.8746
-2.2974,2.1783,0.9087,0.9087
-2.2073,2.0882,0.9120,0.9120
-2.1172,1.9981,0.9120,0.9120
