-22.3874,29.2954,1.5
-22.3874,29.2053,1.5
-22.3874,29.1152,1.5
-22.3874,29.0251,1.5
-22.3874,28.9351,1.5
-22.3874,28.8450,1.5
-22.3874,28.7549,1.5
-22.3874,28.6648,1.5
-22.4775,28.5747,1.5
-22.4775,28.4846,1.5
-22.4775,28.3945,1.5
-22.4775,28.3044,1.5
-22.5676,28.2143,1.5
-22.5676,28.1242,1.5
-22.5676,28.0342,1.5
-22.5676,27.9441,1.5
-22.6577,27.8540,1.5
-22.6577,27.7639,1.5
-22.6577,27.6738,1.5
-22.6577,27.5837,1.5
-22.7478,27.4936,1.5
-22.7478,27.4035,1.5
-22.7478,27.3134,1.5
-22.8379,27.2233,1.5
-22.8379,27.1333,1.5
-22.8379,27.0432,1.5
-22.9280,26.9531,1.5
-22.9280,26.8630,1.5
-22.9280,26.7729,1.5
-23.0181,26.6828,1.5
-23.0181,26.5927,1.5
-23.1082,26.5026,1.5
-23.1082,26.4125,1.5
-23.1082,26.3224,1.5
-23.1983,26.2324,1.5
-23.1983,26.1423,1.5
-23.2883,26.0522,1.5
-23.2883,25.9621,1.5
-23.3784,25.8720,1.5
-23.3784,25.7819,1.5
-23.4685,25.6918,1.5
-23.4685,25.6017,1.5
-23.5586,25.5116,1.5
-23.5586,25.4215,1.5
-23.6487,25.3315,1.5
-23.6487,25.2414,1.5
-23.7388,25.1513,1.5
-23.7388,25.0612,1.5
-23.8289,24.9711,1.5
-23.8289,24.8810,1.5
-23.8289,24.7909,1.5
-23.8289,24.7008,1.5
-23.9190,24.6107,1.5
-23.9190,24.5206,1.5
-23.9190,24.4306,1.5
-23.9190,24.3405,1.5
-23.9190,24.2504,1.5
-24.0091,24.1603,1.5
-24.0091,24.0702,1.5
-24.0091,23.9801,1.5
-24.0091,23.8900,1.5
-24.0091,23.7999,1.5
-24.0091,23.7098,1.5
-24.0091,23.6197,1.5
-23.9190,23.5297,1.5
-23.9190,23.4396,1.5
-23.9190,23.3495,1.5
-23.9190,23.2594,1.5
-23.9190,23.1693,1.5
-23.8289,23.0792,1.5
-23.8289,22.9891,1.5
-23.8289,22.8990,1.5
-23.8289,22.8089,1.5
-23.7388,22.7188,1.5
-23.6487,22.6288,1.5
-23.5586,22.5387,1.5
-23.4685,22.4486,1.5
-23.3784,22.3585,1.5
-23.2883,22.2684,1.5
-23.1983,22.1783,1.5
-23.1082,22.0882,1.5
-23.0181,21.9981,1.5
-22.9280,21.9080,1.5
-22.8379,21.8179,1.5
-22.7478,21.7279,1.5
-22.6577,21.6378,1.5
-22.5676,21.5477,1.5
-22.4775,21.4576,1.5
-22.3874,21.3675,1.5
-22.2974,21.2774,1.5
-22.2073,21.1873,1.5
-22.1172,21.0972,1.5
-22.0271,21.0071,1.5
-21.9370,20.9170,1.5
-21.8469,20.8270,1.5
-21.7568,20.7369,1.5
-21.6667,20.6468,1.5
-21.5766,20.6468,1.5
-21.4865,20.5567,1.5
-21.3965,20.4666,1.5
-21.3064,20.3765,1.5
-21.2163,20.2864,1.5
-21.1262,20.1963,1.5
-21.0361,20.1062,1.5
