x,y
0.0,0.0
0.0,0.0
5.4682498866319655e-05,0.0
0.00043485983810946367,0.0
0.0013437847332726702,1.5238390360073463e-08
0.004648504879647339,4.1967931114558675e-07
0.006997545822675446,1.0827801597071914e-06
0.00978171484191917,1.8393577838741803e-06
0.01657365979459114,1.9775841538360625e-06
0.020542959271252492,3.6193037196158995e-07
0.024870341329208435,-4.302196417627149e-06
0.029538777298990192,-1.2048681542767312e-05
0.0345320453570511,-2.4234546115369207e-05
0.03983422467915189,-9.23208944732145e-05
0.04543002869683345,-0.0002228978780057332
0.05130618964854032,-0.0003708025945015755
0.057448266435423175,-0.000570584976325947
0.07047850360448533,-0.0011337798572396206
0.07734374790829951,-0.0014693384030567166
0.08442857908968289,-0.0018186031585327278
0.09921342107711875,-0.002600480266643653
0.10689387700302747,-0.0030328164908852238
0.11475621435947878,-0.00345474157817302
0.12279299392311874,-0.0038415536250682504
0.13099385530305582,-0.004235618830677995
0.13935167112759433,-0.00462206629337923
0.14785757446151165,-0.00503110256689547
0.15650550889639625,-0.005440795600749131
0.16528742502766033,-0.005877911297305637
0.17419806401599272,-0.006318311581628246
0.18322998755459105,-0.0067878889624643285
0.2016370488326587,-0.007765541278932659
0.21100252247110762,-0.008251074875113007
0.2204712793407675,-0.008690550201552674
0.23003640895530056,-0.009126469936516156
0.23969401239645163,-0.009543119750463942
0.24943833638498383,-0.009972213823094352
0.2592662044055859,-0.010391300094133788
0.2791544022381694,-0.011258402898888237
0.2892072929525948,-0.011708279257960757
0.29932983589900314,-0.01212874610656306
0.30951976392565794,-0.012490756971848234
0.3197722732712597,-0.012836932336556915
0.33008488113833445,-0.013151058213906783
0.3404537415038975,-0.013465461178352234
0.3508768378074424,-0.013757403660838191
0.3613507973992073,-0.014055365877265887
0.3718738877355272,-0.014334170198629674
0.3824430575976965,-0.014620942174256543
0.4037123040034806,-0.015166780699135948
0.4144087952549226,-0.015402248414890284
0.42514471817468125,-0.015565827880375513
0.43591733043471464,-0.015700148596669797
0.4467249649752632,-0.01578855927597873
0.4575656072278896,-0.015863797117367465
0.46843777925139607,-0.01590292009347568
0.4902703484285748,-0.01593417273904139
0.4902703484285748,-0.01593417273904139
0.5012279486616534,-0.01592841374033865
0.52321810767646,-0.015720348682942982
0.5342478203197105,-0.01553051010002683
0.5452986342951134,-0.015281011742024848
0.556370048685809,-0.01500485589609335
0.5785692690082697,-0.014332784856181077
0.5896950243275721,-0.013940598088878518
0.6008384627065579,-0.013554245709182684
0.6119997696065205,-0.013205035062881931
0.6231767647451243,-0.012850468883104293
0.6343692193205975,-0.012507534322004445
0.6567952826311416,-0.01178026593654038
0.6680264133384749,-0.011365424200340929
0.6792665423382471,-0.010866122780156643
0.6905165464087037,-0.010324151534065018
0.701774771697613,-0.009721989173718377
0.7243170177607319,-0.008412178422861107
0.7356017046230252,-0.007734623388547645
0.7468977295785985,-0.007092174298842581
0.7582022164668409,-0.006442952547934793
0.7695157346197223,-0.005804423347532608
0.7808360031389371,-0.005143693414815039
0.7921639704696577,-0.004483936550367202
0.8034975327019187,-0.0037958488019580877
0.8261828632689776,-0.002383130962844808
0.837535398335373,-0.0016811387873721215
0.8488969337152958,-0.0010296389585958484
0.8602646070818423,-0.0003856285023743363
0.8716390636116491,0.0002340679418899622
0.8944030235181211,0.001477671395763371
0.9057903068351599,0.0021323519520530104
0.9171776623488317,0.002859605365077534
0.9285672783057769,0.003617661958477182
0.9399576284369882,0.004424131705408088
0.9513507373318129,0.0052461497967493794
0.9627446654197033,0.006106953157782374
0.9741413839493194,0.0069772388838663
0.9855387219264646,0.00788248419975496
0.9969386810942874,0.008794804583063656
1.008338948273345,0.00974056514357372
1.0311442083076425,0.01167716401632263
1.0425489455418098,0.01266762474901612
1.0539510867005615,0.01371484640915328
1.065347208253654,0.014849882917331246
1.0767410275067277,0.01603001436229015
1.0881304160885306,0.017272155672839073
1.0995186903396332,0.018543101786416723
1.1109030383121097,0.01986575178978637
1.1222866441847694,0.021210712739609772
1.1336633052875367,0.022627351116932537
1.1450285524979347,0.02414565604469183
1.1677372711884304,0.027374161617670933
1.1790824193372913,0.02906749237045082
1.1904191966830997,0.030825058777326775
1.1904191966830997,0.030825058777326775
1.2130761392065919,0.03446987205161582
1.2243963331484031,0.036354416462878944
1.2357078437257725,0.038297147273261625
1.2470150780265485,0.04027095109676218
1.2583131848294495,0.04230220194764464
1.2696067478843058,0.04436406766316799
1.2921697910875536,0.04863242345740653
1.303438762485724,0.05083873075433211
1.3147072995083275,0.05305151340315547
1.325981363635066,0.055240005541428355
1.3372527161582901,0.05744627045343852
1.3485245835609747,0.059653541894272154
1.359790467900003,0.06189457625602061
1.3710547826963704,0.06414672824533678
1.39356594969747,0.0687464211496774
1.4048120168449238,0.07109646981724221
1.416060089053748,0.07343947783222649
1.427316382818677,0.07574514375312422
1.4385721634209137,0.07805569752027634
1.4498307967195223,0.08035456251171733
1.4610855366001454,0.08267455233363084
1.4723409871588227,0.08499312190207231
1.4835911154298265,0.08733929478701515
1.506085033592371,0.09206717364217869
1.5173334425132905,0.09442674020779313
1.5285925043562223,0.09673654269814068
1.539853429425733,0.09903880255001038
1.55111955638119,0.10131693561399183
1.5736519271250105,0.1058767510691574
1.584916830118736,0.10816492945522958
1.5961887328595714,0.1104195379845187
1.6074733566616448,0.11261079981555039
1.6187622036207754,0.11478139296900014
1.6300583236071136,0.11691492566548216
1.652657638944462,0.1211474629782427
1.6639550776789225,0.12327701776845362
1.6752414191122993,0.125465528816391
1.6865244524450038,0.12767191218081922
