0.346,-0.00599964
0.692,-0.01199928
1.038,-0.01799892
1.384,-0.02399856
1.73,-0.0299982
2.076,-0.03599784
2.422,-0.04199748
2.768,-0.04799712
3.114,-0.05399676
3.46,-0.0599964
3.806,-0.06599604
4.152,-0.07199568
4.498,-0.07799532
4.844,-0.08399496
5.19,-0.0899946
5.536,-0.09599424
5.882,-0.10199388
6.228,-0.10799352
6.574,-0.11399316
6.92,-0.1199928
7.266,-0.12599244
7.612,-0.13199208
7.958,-0.13799172
8.304,-0.14399136
8.65,-0.149991
8.996,-0.15599064
9.342,-0.16199028
9.688,-0.16798992
10.034,-0.17398956
10.38,-0.1799892
10.726,-0.18598884
11.072,-0.19198848
11.418,-0.19798812
11.764,-0.20398776
12.11,-0.2099874
12.456,-0.21598704
12.802,-0.22198668
13.148,-0.22798632
13.494,-0.23398596
13.84,-0.24
14.186,-0.2442401
14.532,-0.2570457
14.878,-0.278682
15.224,-0.3096223
15.57,-0.350605
15.916,-0.4027346
16.262,-0.4676664
16.608,-0.5479626
16.954,-0.6478565
17.3,-0.7751922
17.332,-0.7888356
17.364,-0.8028677
17.396,-0.8173118
17.428,-0.8321939
17.46,-0.847543
17.492,-0.8633919
17.524,-0.8797777
17.556,-0.8967427
17.588,-0.9143357
17.62,-0.932613
17.652,-0.9516406
17.684,-0.9714967
17.716,-0.9922747
17.748,-1.0140883
17.78,-1.0370776
17.812,-1.0614196
17.844,-1.0873425
17.876,-1.1151497
17.908,-1.1452607
17.94,-1.1782838
17.972,-1.215164
18.004,-1.2575221
18.036,-1.3086262
18.068,-1.3775999
18.1,-1.52
18.09,-2.3956
18.08,-3.2672
18.07,-4.1388
18.06,-5.0104
18.05,-5.882
18.04,-6.7536
18.03,-7.6252
18.02,-8.4968
18.01,-9.3684
18,-10.24
17.99,-11.1116
17.98,-11.9832
17.97,-12.8548
17.96,-13.7264
17.95,-14.598
17.94,-15.4696
17.93,-16.3412
17.92,-17.2128
17.91,-18.0844
17.9,-18.956
17.89,-19.8276
17.88,-20.6992
17.87,-21.5708
17.86,-22.4424
17.85,-23.314
17.84,-24.1856
17.83,-25.0572
17.82,-25.9288
17.81,-26.8004
17.8,-27.672
17.79,-28.5436
17.78,-29.4152
17.77,-30.2868
17.76,-31.1584
17.75,-32.03
17.74,-32.9016
17.73,-33.7732
17.72,-34.6448
17.71,-35.5164
17.7,-36.388
17.69,-37.2596
17.68,-38.1312
17.67,-39.0028
17.66,-39.8744
17.65,-40.746
17.64,-41.312856
17.63,-41.56493
17.62,-41.754728
17.61,-41.91304
17.6,-42.051374
17.544,-42.636585
17.488,-43.062955
17.432,-43.407938
17.376,-43.700185
17.32,-43.95414
17.264,-44.178313
17.208,-44.378224
17.152,-44.557691
17.096,-44.719485
17.04,-44.865689
16.984,-44.997912
16.928,-45.117423
16.872,-45.225239
16.816,-45.322186
16.76,-45.408943
16.704,-45.48607
16.648,-45.554029
16.592,-45.613206
16.536,-45.663916
16.48,-45.706419
16.424,-45.740926
16.368,-45.767601
16.312,-45.786568
16.256,-45.797914
16.2,-45.9
15.697,-45.89579115
15.194,-45.8917923
14.691,-45.88779345
14.188,-45.8837946
13.685,-45.87979575
13.182,-45.8757969
12.679,-45.87179805
12.176,-45.8677992
11.673,-45.86380035
11.17,-45.8598015
10.667,-45.85580265
10.164,-45.8518038
9.661,-45.84780495
9.158,-45.8438061
8.655,-45.83980725
8.152,-45.8358084
7.649,-45.83180955
7.146,-45.8278107
6.643,-45.82381185
6.14,-45.819813
5.637,-45.81581415
5.134,-45.8118153
4.631,-45.80781645
4.128,-45.8038176
3.625,-45.79981875
3.122,-45.7958199
2.619,-45.79182105
2.116,-45.7878222
1.613,-45.78382335
1.11,-45.7798245
0.607,-45.77582565
0.104,-45.7718268
-0.399,-45.76782795
-0.902,-45.7638291
-1.405,-45.75983025
-1.908,-45.7558314
-2.411,-45.75183255
-2.914,-45.7478337
-3.417,-45.74383485
-3.92,-45.739836
-4.423,-45.73583715
-4.926,-45.7318383
-5.429,-45.72783945
-5.932,-45.7238406
-6.435,-45.71984175
-6.938,-45.7158429
-7.441,-45.71184405
-7.944,-45.7078452
-8.447,-45.70384635
-8.95,-45.6998475
-9.453,-45.69584865
-9.956,-45.6918498
-10.459,-45.68785095
-10.962,-45.6838521
-11.465,-45.67985325
-11.968,-45.6758544
-12.471,-45.67185555
-12.974,-45.6678567
-13.477,-45.66385785
-13.98,-45.659859
-14.483,-45.65586015
-14.986,-45.6518613
-15.489,-45.64786245
-15.992,-45.6438636
-16.495,-45.63986475
-16.998,-45.6358659
-17.501,-45.63186705
-18.004,-45.6278682
-18.507,-45.62386935
-19.01,-45.6198705
-19.513,-45.61587165
-20.016,-45.6118728
-20.519,-45.60787395
-21.022,-45.6038751
-21.525,-45.59987625
-22.028,-45.5958774
-22.531,-45.59187855
-23.034,-45.5878797
-23.537,-45.58388085
-24.04,-45.579882
-24.543,-45.57588315
-25.046,-45.5718843
-25.549,-45.56788545
-26.052,-45.5638866
-26.555,-45.55988775
-27.058,-45.5558889
-27.561,-45.55189005
-28.064,-45.5478912
-28.567,-45.54389235
-29.07,-45.5398935
-29.573,-45.53589465
-30.076,-45.5318958
-30.579,-45.52789695
-31.082,-45.5238981
-31.585,-45.51989925
-32.088,-45.5159004
-32.591,-45.51190155
-33.094,-45.5079027
-33.597,-45.50390385
-34.1,-45.499905
-34.1,-45.5
-34.14,-45.49879952
-34.18,-45.4951923
-34.22,-45.48916084
-34.26,-45.48067552
-34.3,-45.46969385
-34.34,-45.45615933
-34.38,-45.44
-34.42,-45.42112631
-34.46,-45.39942845
-34.5,-45.37477271
-34.54,-45.34699666
-34.58,-45.31590273
-34.62,-45.28124939
-34.66,-45.24273891
-34.7,-45.2
-34.74,-45.15256236
-34.78,-45.09981817
-34.82,-45.04096109
-34.86,-44.97488461
-34.9,-44.9
-34.94,-44.8138796
-34.98,-44.71246053
-35.02,-44.58787754
-35.1,-44
-35.086,-43.158094
-35.072,-42.288288
-35.058,-41.418482
-35.044,-40.548676
-35.03,-39.67887
-35.016,-38.809064
-35.002,-37.939258
-34.988,-37.069452
-34.974,-36.199646
-34.96,-35.32984
-34.946,-34.460034
-34.932,-33.590228
-34.918,-32.720422
-34.904,-31.850616
-34.89,-30.98081
-34.876,-30.111004
-34.862,-29.241198
-34.848,-28.371392
-34.834,-27.501586
-34.82,-26.63178
-34.806,-25.761974
-34.792,-24.892168
-34.778,-24.022362
-34.764,-23.152556
-34.75,-22.28275
-34.736,-21.412944
-34.722,-20.543138
-34.708,-19.673332
-34.694,-18.803526
-34.68,-17.93372
-34.666,-17.063914
-34.652,-16.194108
-34.638,-15.324302
-34.624,-14.454496
-34.61,-13.58469
-34.596,-12.714884
-34.582,-11.845078
-34.568,-10.975272
-34.554,-10.105466
-34.54,-9.23566
-34.526,-8.365854
-34.512,-7.496048
-34.498,-6.626242
-34.484,-5.756436
-34.47,-4.88663
-34.456,-4.016824
-34.442,-3.147018
-34.428,-2.277212
-34.414,-1.407406
-34.4,-0.51
-34.352,-0.216
-34.304,-0.098485723
-34.256,-0.011277632
-34.208,0.059715719
-34.16,0.12
-34.112,0.172419226
-34.064,0.218672766
-34.016,0.259872717
-33.968,0.296793654
-33.92,0.33
-33.872,0.359917237
-33.824,0.386874573
-33.776,0.411131912
-33.728,0.432897661
-33.68,0.452340896
-33.632,0.469599918
-33.584,0.48478842
-33.536,0.498
-33.488,0.509311532
-33.44,0.518785692
-33.392,0.526472865
-33.344,0.532412586
-33.296,0.536634607
-33.248,0.539159664
-33.2,0.54
-32.536,0.52936072
-31.872,0.51855744
-31.208,0.50775416
-30.544,0.49695088
-29.88,0.4861476
-29.216,0.47534432
-28.552,0.46454104
-27.888,0.45373776
-27.224,0.44293448
-26.56,0.4321312
-25.896,0.42132792
-25.232,0.41052464
-24.568,0.39972136
-23.904,0.38891808
-23.24,0.3781148
-22.576,0.36731152
-21.912,0.35650824
-21.248,0.34570496
-20.584,0.33490168
-19.92,0.3240984
-19.256,0.31329512
-18.592,0.30249184
-17.928,0.29168856
-17.264,0.28088528
-16.6,0.270082
-15.936,0.25927872
-15.272,0.24847544
-14.608,0.23767216
-13.944,0.22686888
-13.28,0.2160656
-12.616,0.20526232
-11.952,0.19445904
-11.288,0.18365576
-10.624,0.17285248
-9.96,0.1620492
-9.296,0.15124592
-8.632,0.14044264
-7.968,0.12963936
-7.304,0.11883608
-6.64,0.1080328
-5.976,0.09722952
-5.312,0.08642624
-4.648,0.07562296
-3.984,0.06481968
-3.32,0.0540164
-2.656,0.04321312
-1.992,0.03240984
-1.328,0.02160656
-0.664,0.01080328
0,0
